shot_id,match_id,player_id,team_id,minute,x,y,xg,result,shot_type,situation,data_source
22928,1914,201,1,31,93.9800,46.5800,0.0222,Off T,Right Foot,Open Play,understat
22929,1914,187,1,33,77.7000,32.7100,0.0205,Off T,Right Foot,Open Play,understat
22930,1914,191,1,42,87.9900,35.9700,0.0797,Off T,Left Foot,Open Play,understat
22931,1914,194,1,51,82.6300,46.8500,0.0382,Off T,Left Foot,Open Play,understat
22932,1914,194,1,74,93.9800,24.8900,0.2963,Saved,Left Foot,Open Play,understat
22933,1914,194,1,84,90.4000,34.6800,0.1021,Off T,Left Foot,Open Play,understat
22934,1914,172,1,90,97.4400,31.6200,0.1678,Off T,OtherBodyPart,From Corner,understat
22935,1915,418,25,28,85.8900,33.8000,0.0631,Blocked,Right Foot,Open Play,understat
22936,1915,409,25,30,98.6000,45.0800,0.0079,Saved,Head,Set Piece,understat
22937,1915,440,25,40,99.4300,20.6700,0.0485,Saved,Right Foot,Open Play,understat
22938,1915,440,25,45,91.4500,38.3500,0.1116,Saved,Left Foot,Open Play,understat
22939,1915,440,25,46,94.8200,43.3800,0.0191,Blocked,Head,Open Play,understat
22940,1915,420,25,52,83.9000,21.8300,0.0251,Blocked,Left Foot,Open Play,understat
22941,1915,441,25,66,94.0800,38.6200,0.0827,Blocked,Left Foot,From Corner,understat
22942,1915,415,25,66,81.5800,43.0400,0.0297,Off T,Left Foot,From Corner,understat
22943,1915,441,25,68,91.1400,37.6700,0.0903,Saved,Left Foot,Open Play,understat
22944,1916,293,3,4,81.0600,19.7900,0.0211,Off T,Right Foot,Open Play,understat
22945,1916,311,3,14,78.6500,32.8400,0.0229,Off T,Left Foot,Open Play,understat
22946,1916,288,3,16,97.7500,31.7600,0.1043,Off T,Left Foot,From Corner,understat
22947,1916,311,3,17,95.5500,35.8400,0.0897,Saved,Left Foot,Open Play,understat
22948,1916,288,3,21,95.3400,34.6100,0.0361,Off T,Head,From Corner,understat
22949,1916,284,3,21,95.7600,32.5700,0.0397,Off T,Head,From Corner,understat
22950,1916,311,3,25,98.0700,43.7900,0.0196,Blocked,Head,From Corner,understat
22951,1916,288,3,25,103.4200,31.9600,0.9396,Goal,Left Foot,From Corner,understat
22952,1916,308,3,59,99.5400,36.0400,0.5109,Goal,Head,Open Play,understat
22953,1916,307,3,69,84.2100,42.9800,0.0613,Saved,Left Foot,Open Play,understat
22954,1916,308,3,70,100.9000,36.1800,0.4047,Off T,Head,From Corner,understat
22955,1916,309,3,72,84.9500,24.4800,0.0898,Off T,Right Foot,Open Play,understat
