canonical_id,canonical_name,nationality,birth_date,position,id_sofascore,id_understat,id_transfermarkt,id_statsbomb,id_whoscored,created_at
549,Roberto Fernández,España,2002-07-03,Delantero centro,1392592.0,13350.0,720518,,448296.0,2026-04-21 23:45:44.771660
534,Alex Král,República Checa,1998-05-19,Mediocentro,825740.0,8017.0,337333,,369861.0,2026-04-21 23:45:44.771660
551,Walid Cheddira,Marruecos,1998-01-22,Delantero centro,917485.0,11989.0,521407,,447146.0,2026-04-21 23:45:44.771660
530,Roger Hinojo,España,2005-02-21,Lateral izquierdo,,,1204959,,555136.0,2026-04-21 23:45:44.771660
172,Natan,Brasil,2001-02-06,Defensa central,1015287.0,11890.0,735568,,402206.0,2026-04-21 23:45:44.771660
179,Ricardo Rodríguez,Suiza,1992-08-25,Lateral izquierdo,67769.0,308.0,86784,,61610.0,2026-04-21 23:45:44.771660
202,Antony,Brasil,2000-02-24,Extremo derecho,958380.0,11094.0,602105,,364315.0,2026-04-21 23:45:44.771660
178,Romain Perraud,Francia,1997-09-22,Lateral izquierdo,827519.0,6500.0,318523,,331466.0,2026-04-21 23:45:44.771660
174,Nobel Mendy,Senegal,2004-09-03,Defensa central,1458073.0,,1034853,,469508.0,2026-04-21 23:45:44.771660
203,Pablo García,España,2006-06-13,Extremo derecho,,,961087,,551186.0,2026-04-21 23:45:44.771660
90,Nayef Aguerd,Marruecos,1996-03-30,Defensa central,877102.0,,361914,,362434.0,2026-04-21 23:45:44.771660
112,Pablo Marín,España,2003-07-03,Mediocentro ofensivo,1139409.0,11185.0,907813,,459677.0,2026-04-21 23:45:44.771660
106,Luka Sucic,Croacia,2002-09-08,Mediocentro,949156.0,12862.0,502722,,407080.0,2026-04-21 23:45:44.771660
117,Arkaitz Mariezkurrena,España,2005-04-05,Extremo izquierdo,1526575.0,13267.0,962145,,546575.0,2026-04-21 23:45:44.771660
88,Aitor Fraga,España,2003-03-09,Portero,,,668313,,497766.0,2026-04-21 23:45:44.771660
765,Maroan Sannadi,Marruecos,2001-02-01,Delantero centro,1520799.0,13417.0,1054934,,541704.0,2026-04-21 23:45:44.771660
742,Adama Boiro,España,2002-06-22,Lateral izquierdo,1398511.0,12724.0,710671,,515307.0,2026-04-21 23:45:44.771660
755,Peio Canales,España,2005-01-17,Mediocentro ofensivo,1464648.0,13123.0,1056966,,536242.0,2026-04-21 23:45:44.771660
407,Ladislav Krejčí,República Checa,1999-04-20,Defensa central,856250.0,12721.0,345911,,404245.0,2026-04-21 23:45:44.771660
441,Bojan Miovski,Macedonia del Norte,1999-06-24,Delantero centro,945768.0,12995.0,476219,,424737.0,2026-04-21 23:45:44.771660
424,Jhon Solís,Colombia,2004-10-03,Mediocentro,1106573.0,12046.0,742521,,445345.0,2026-04-21 23:45:44.771660
303,Arnaut Danjuma,Países Bajos,1997-01-31,Extremo izquierdo,827064.0,,355861,,323625.0,2026-04-21 23:45:44.771660
440,Abel Ruiz,España,2000-01-28,Delantero centro,826013.0,7549.0,340376,,372828.0,2026-04-21 23:45:44.771660
408,Alejandro Francés,España,2002-08-01,Defensa central,1002347.0,12723.0,632896,,416959.0,2026-04-21 23:45:44.771660
401,Vladyslav Krapyvtsov,Ucrania,2005-06-25,Portero,,,1169436,,497397.0,2026-04-21 23:45:44.771660
237,Takuma Asano,Japón,1994-11-10,Extremo derecho,309546.0,6087.0,245744,,126316.0,2026-04-21 23:45:44.771660
225,Mateu Morey,España,2000-03-02,Lateral derecho,879543.0,8070.0,388513,,384368.0,2026-04-21 23:45:44.771660
242,Marc Domènech,España,2006-12-01,Delantero centro,1914318.0,,1296876,,537076.0,2026-04-21 23:45:44.771660
234,Chiquinho,Portugal,2000-02-05,Extremo izquierdo,1015826.0,10327.0,695454,,421894.0,2026-04-21 23:45:44.771660
410,David López,España,1989-10-09,Defensa central,,1857.0,129444,,502424.0,2026-04-21 23:45:44.771660
231,Jan Salas,España,2005-08-10,Mediocentro,1905699.0,12951.0,1063574,,537870.0,2026-04-21 23:45:44.771660
332,Enzo Barrenechea,Argentina,2001-05-22,Pivote,1087316.0,11140.0,671915,,456787.0,2026-04-21 23:45:44.771660
468,Coba da Costa,Guinea-Bissau,2002-07-26,Extremo izquierdo,1392054.0,13047.0,1033005,,538555.0,2026-04-21 23:45:44.771660
608,Miguel Román,España,2002-12-26,Mediocentro,,,892932,,462768.0,2026-04-21 23:45:44.771660
310,Karl Etta Eyong,Camerún,2003-10-14,Delantero centro,,,1038950,,445095.0,2026-04-21 23:45:44.771660
89,Egoitz Arana,España,2002-02-19,Portero,,,711367,,456112.0,2026-04-21 23:45:44.771660
635,Valentin Rosier,Francia,1996-08-19,Lateral derecho,842419.0,5615.0,441170,,319388.0,2026-04-21 23:45:44.771660
641,Seydouba Cissé,Guinea,2001-02-10,Mediocentro,906065.0,12792.0,543537,,448222.0,2026-04-21 23:45:44.771660
